x,y,z,yaw,x_ref,y_ref,z_ref,yaw_ref
5.03264045715332,0.43923687934875577,7.045098781585693,7.791882191088424,5.021925327535559,0.4861315137924725,7.0851557294241765,-0.2564527745263001
5.028306484222412,0.2592531144618997,7.061899662017822,8.80747074456193,5.037456606238298,0.3028762428187593,7.088261985164724,-0.2564527745263001
5.028160095214844,0.10890702903270807,7.064787864685059,10.9552943034901,5.046092056592028,0.11782821613752958,7.08998907523547,-0.2564527745263001
5.036627769470215,-0.062350556254386034,7.05458402633667,13.036819725280257,5.047819743627801,-0.06798990767036202,7.090334612642625,-0.2564527745263001
5.049111366271973,-0.20304507017135534,7.046331405639648,14.84331517527824,5.046092056592028,-0.1608668563088157,7.08998907523547,-0.2564527745263001
5.063353538513184,-0.3417046666145316,7.043181419372559,15.454818625581577,5.037456606238298,-0.3459148829900455,7.088261985164724,-0.2564527745263001
5.070528984069824,-0.48476150631904513,7.0468010902404785,16.992954387208453,5.021925327535559,-0.5291701539637587,7.0851557294241765,-0.2564527745263001
5.068972587585449,-0.6441670060157767,7.049466133117676,19.668784066929355,4.999519686107654,-0.7096199182230317,7.080674601138595,-0.2564527745263001
5.059507846832275,-0.7899880409240714,7.039668560028076,21.830515815931953,4.970270648565901,-0.8862669292522214,7.074824793630245,-0.2564527745263001
5.036778450012207,-0.9344455599784842,7.02888822555542,24.0509918305377,4.953092120980547,-0.9728583608083889,7.0713890881131745,-0.2564527745263001
5.00285530090332,-1.0741683244705191,7.019781112670898,24.865485718030577,4.913656726531107,-1.1419788556819934,7.063502009223286,-0.2564527745263001
4.952834606170654,-1.2333905696868888,7.010876178741455,26.47244817298352,4.867496606299326,-1.3049071874769718,7.05426998517693,-0.2564527745263001
4.903487205505371,-1.3741819858551017,7.003600120544434,28.390591302824376,4.814675557722393,-1.4607429409899615,7.043705775461543,-0.2564527745263001
4.852880477905273,-1.5225980281829825,6.994471549987793,30.21163283287711,4.7552665842394655,-1.6086248977935405,7.031823980764957,-0.2564527745263001
4.797935485839844,-1.673099160194396,6.975923538208008,32.513506846968035,4.6539828392614915,-1.8137598393429315,7.011567231769363,-0.2564527745263001
4.726730823516846,-1.836840033531188,6.9556074142456055,35.68632003748845,4.538378032000434,-1.9966219789817683,6.9884462703171515,-0.2564527745263001
4.637032985687256,-1.9832508563995352,6.941769123077393,38.1224539450514,4.453527718767843,-2.105021807392659,6.971476207670634,-0.2564527745263001
4.571094036102295,-2.0636391639709464,6.930717945098877,39.30410009701038,4.362588619419525,-2.2019072644529913,6.95328838780097,-0.2564527745263001
4.476605415344238,-2.1578805446624747,6.907587051391602,40.282178116202395,4.265686419968631,-2.286742917573725,6.933907947910791,-0.2564527745263001
4.386617183685303,-2.2277283668518058,6.880566596984863,41.27046461820671,4.162955047968897,-2.3590599267991803,6.913361673510844,-0.2564527745263001
4.280137062072754,-2.289642333984374,6.850954532623291,41.95535364890806,4.054536487414721,-2.4184586358274074,6.891677961400009,-0.2564527745263001
4.186041355133057,-2.3270745277404776,6.826212406158447,42.462282192668425,3.940580582506512,-2.4646107806905633,6.868886780418367,-0.2564527745263001
4.072752475738525,-2.3642282485961905,6.800760269165039,42.67104671490462,3.821244830552535,-2.497261303889163,6.845019630027572,-0.2564527745263001
3.951308250427246,-2.3946826457977286,6.7717461585998535,42.90776395694251,3.6966941642934543,-2.516229763954486,6.820109496775755,-0.2564527745263001
3.8225388526916504,-2.415207386016845,6.740372180938721,43.35211475860174,3.5671007239504733,-2.521411332649237,6.794190808707159,-0.2564527745263001
3.699376344680786,-2.421790361404418,6.712375640869141,44.0099035296142,3.432643619312057,-2.512777374295517,6.767299387779476,-0.2564527745263001
3.559920310974121,-2.409364700317382,6.687257289886475,44.390708528417356,3.293508682188099,-2.4903756040284484,6.739472400354685,-0.2564527745263001
3.3567357063293457,-2.3723812103271475,6.657838344573975,44.61091797801906,3.1498882095736502,-2.4543298241008897,6.710748305831794,-0.2564527745263001
3.2227118015289307,-2.339127540588378,6.633941173553467,44.41601759184083,3.001980697877183,-2.404839239696534,6.681166803492501,-0.2564527745263001
3.0728819370269775,-2.2908267974853507,6.600450038909912,44.36931723480877,2.8499905685806897,-2.34217735803251,6.6507687776332025,-0.2564527745263001
2.936203956604004,-2.2347793579101554,6.572213172912598,44.41521293025006,2.6941278857108313,-2.266690476835554,6.619596241059231,-0.2564527745263001
2.7598605155944824,-2.1497056484222403,6.546151638031006,44.48110472062359,2.5346080655115513,-2.1787957705450984,6.587692277019375,-0.2564527745263001
2.631986618041992,-2.081756591796874,6.525922775268555,44.456606246058385,2.4535454368634584,-2.1303446708196523,6.571479751289757,-0.2564527745263001
2.489652395248413,-2.000215768814086,6.497261047363281,44.30938201362943,2.288954789693316,-2.0247697045426976,6.538561621855727,-0.2564527745263001
2.3580334186553955,-1.9149503707885733,6.471188068389893,43.82566305571451,2.1212669908483277,-1.9081238761116033,6.50502406208673,-0.2564527745263001
2.207744598388672,-1.8090615272521964,6.445968151092529,43.46405961414599,1.9507137999461075,-1.781051822810572,6.470913423906286,-0.2564527745263001
2.0658788681030273,-1.7032376527786246,6.4272332191467285,43.66928065928751,1.86443619910206,-1.7138232704913656,6.453657903737477,-0.2564527745263001
1.9171861410140991,-1.583289384841918,6.402438640594482,43.89332395645583,1.6900280434573904,-1.5724455656221623,6.418776272608543,-0.2564527745263001
1.7388335466384888,-1.438050150871276,6.367964267730713,44.047143824180154,1.5133505067606792,-1.4224967451256803,6.3834407652692,-0.2564527745263001
1.5882294178009033,-1.312405347824096,6.335574626922607,43.77362059176099,1.334647773255673,-1.264805493591115,6.3477002185682,-0.2564527745263001
1.410569190979004,-1.1562031507492059,6.299281597137451,43.252861159714726,1.1541668261902145,-1.1002432837620553,6.311604029155108,-0.2564527745263001
